OrderID,Date,CustomerID,Product,Category,Subcategory,Price,Quantity,TotalAmount,DiscountPercent,DiscountAmount,FinalAmount,PaymentMethod,CustomerAge,CustomerGender,City,State,Rating
10000,2023-01-01,1425,Accessories Product 92,Sports,Accessories,283.86,2,567.72,5,28.39,539.33,Bank Transfer,69,Female,Tampa,Florida,5
10001,2023-01-01,6228,Shoes Product 21,Clothing,Shoes,76.93,1,76.93,0,0.0,76.93,Bank Transfer,27,Female,Chicago,Illinois,4
10002,2023-01-01,6228,Biographies Product 52,Books,Biographies,70.94,2,141.88,0,0.0,141.88,PayPal,29,Non-binary,Orlando,Florida,5
10003,2023-01-01,2405,Dresses Product 71,Clothing,Dresses,25.59,2,51.18,0,0.0,51.18,Apple Pay,65,Male,Buffalo,New York,3
10004,2023-01-01,8218,Furniture Product 27,Home & Kitchen,Furniture,866.58,1,866.58,5,43.33,823.25,Bank Transfer,57,Non-binary,Albany,New York,2
10005,2023-01-01,8218,Comics Product 35,Books,Comics,79.43,2,158.86,0,0.0,158.86,Google Pay,70,Female,New York City,New York,4
10006,2023-01-02,5741,Cookware Product 32,Home & Kitchen,Cookware,970.25,1,970.25,0,0.0,970.25,Credit Card,62,Female,Rochester,New York,2
10007,2023-01-02,2222,Furniture Product 83,Home & Kitchen,Furniture,653.16,1,653.16,5,32.66,620.5,Credit Card,18,Female,Rochester,New York,4
10008,2023-01-02,2222,Pants Product 33,Clothing,Pants,41.36,2,82.72,0,0.0,82.72,Apple Pay,41,Male,Rockford,Illinois,3
10009,2023-01-03,2222,Shirts Product 43,Clothing,Shirts,123.46,2,246.92,5,12.35,234.57,Google Pay,49,Non-binary,Tampa,Florida,4
10010,2023-01-04,3752,Equipment Product 83,Sports,Equipment,416.94,2,833.88,5,41.69,792.19,Credit Card,73,Female,Austin,Texas,3
10011,2023-01-04,3752,Non-fiction Product 66,Books,Non-fiction,38.28,1,38.28,0,0.0,38.28,Apple Pay,57,Female,Rockford,Illinois,5
10012,2023-01-04,3752,Fitness Product 15,Sports,Fitness,138.33,3,414.99,0,0.0,414.99,Google Pay,49,Non-binary,Jacksonville,Florida,3
10013,2023-01-04,3752,Laptops Product 38,Electronics,Laptops,1384.46,1,1384.46,0,0.0,1384.46,PayPal,43,Female,Syracuse,New York,4
10014,2023-01-05,3752,Fiction Product 73,Books,Fiction,60.9,2,121.8,0,0.0,121.8,PayPal,49,Male,Jacksonville,Florida,4
10015,2023-01-05,3752,Accessories Product 24,Sports,Accessories,190.28,2,380.56,0,0.0,380.56,Credit Card,75,Non-binary,San Jose,California,5
10016,2023-01-05,3752,Tablets Product 22,Electronics,Tablets,1549.5,2,3099.0,20,619.8,2479.2,Credit Card,73,Male,Syracuse,New York,5
10017,2023-01-05,3752,Tablets Product 58,Electronics,Tablets,591.65,1,591.65,0,0.0,591.65,PayPal,20,Male,Rochester,New York,1
10018,2023-01-05,3752,Non-fiction Product 87,Books,Non-fiction,62.41,2,124.82,10,12.48,112.34,Google Pay,40,Male,Syracuse,New York,3
10019,2023-01-06,3752,Furniture Product 25,Home & Kitchen,Furniture,102.15,1,102.15,10,10.22,91.93,Apple Pay,65,Female,San Diego,California,5
10020,2023-01-06,3752,Biographies Product 28,Books,Biographies,54.51,5,272.55,5,13.63,258.92,PayPal,28,Female,Rockford,Illinois,4
10021,2023-01-06,3948,Smartphones Product 94,Electronics,Smartphones,1804.1,1,1804.1,0,0.0,1804.1,PayPal,26,Male,Naperville,Illinois,2
10022,2023-01-06,1348,Biographies Product 76,Books,Biographies,50.47,3,151.41,5,7.57,143.84,Credit Card,52,Male,Austin,Texas,3
10023,2023-01-07,1348,Cameras Product 18,Electronics,Cameras,1440.07,1,1440.07,5,72.0,1368.07,PayPal,23,Non-binary,Naperville,Illinois,1
10024,2023-01-07,1348,Smartphones Product 5,Electronics,Smartphones,1323.02,1,1323.02,20,264.6,1058.42,Bank Transfer,66,Male,San Jose,California,3
10025,2023-01-08,1348,Cameras Product 80,Electronics,Cameras,1198.19,1,1198.19,0,0.0,1198.19,Credit Card,45,Male,Dallas,Texas,3
10026,2023-01-08,1348,Biographies Product 2,Books,Biographies,28.32,2,56.64,0,0.0,56.64,Credit Card,60,Non-binary,San Diego,California,5
10027,2023-01-08,1348,Furniture Product 31,Home & Kitchen,Furniture,708.47,1,708.47,0,0.0,708.47,PayPal,56,Non-binary,Austin,Texas,5
10028,2023-01-09,1348,Decor Product 55,Home & Kitchen,Decor,574.85,1,574.85,0,0.0,574.85,Credit Card,72,Female,Houston,Texas,5
10029,2023-01-09,1348,Dresses Product 43,Clothing,Dresses,147.7,1,147.7,20,29.54,118.16,Apple Pay,43,Male,Dallas,Texas,5
10030,2023-01-09,1348,Fitness Product 20,Sports,Fitness,233.53,1,233.53,5,11.68,221.85,PayPal,51,Female,Tampa,Florida,4
10031,2023-01-10,1348,Accessories Product 90,Clothing,Accessories,143.88,1,143.88,0,0.0,143.88,Bank Transfer,48,Male,Buffalo,New York,4
10032,2023-01-10,1348,Non-fiction Product 42,Books,Non-fiction,10.41,1,10.41,0,0.0,10.41,Apple Pay,73,Non-binary,Jacksonville,Florida,5
10033,2023-01-10,1348,Pants Product 63,Clothing,Pants,106.35,2,212.7,0,0.0,212.7,Credit Card,54,Male,Springfield,Illinois,3
10034,2023-01-12,8407,Pants Product 14,Clothing,Pants,94.42,1,94.42,0,0.0,94.42,Bank Transfer,70,Non-binary,San Diego,California,4
10035,2023-01-12,5025,Decor Product 89,Home & Kitchen,Decor,86.31,1,86.31,5,4.32,81.99,Credit Card,68,Female,Naperville,Illinois,5
10036,2023-01-12,5025,Pants Product 57,Clothing,Pants,124.12,2,248.24,0,0.0,248.24,Google Pay,38,Female,Orlando,Florida,3
10037,2023-01-13,5025,Comics Product 48,Books,Comics,13.21,1,13.21,5,0.66,12.55,Bank Transfer,56,Non-binary,Peoria,Illinois,4
10038,2023-01-13,5025,Decor Product 44,Home & Kitchen,Decor,327.07,1,327.07,0,0.0,327.07,Credit Card,71,Female,Rockford,Illinois,5
10039,2023-01-13,8569,Headphones Product 50,Electronics,Headphones,215.83,1,215.83,0,0.0,215.83,Google Pay,56,Female,Syracuse,New York,5
10040,2023-01-13,3946,Apparel Product 10,Sports,Apparel,152.97,2,305.94,0,0.0,305.94,Apple Pay,48,Non-binary,San Jose,California,3
10041,2023-01-14,3450,Dresses Product 34,Clothing,Dresses,157.62,2,315.24,0,0.0,315.24,PayPal,50,Non-binary,Miami,Florida,4
10042,2023-01-14,9621,Appliances Product 85,Home & Kitchen,Appliances,808.84,1,808.84,10,80.88,727.96,Google Pay,64,Male,Dallas,Texas,4
10043,2023-01-14,5419,Equipment Product 28,Sports,Equipment,85.37,1,85.37,5,4.27,81.1,Bank Transfer,21,Female,Jacksonville,Florida,4
10044,2023-01-14,5419,Bedding Product 62,Home & Kitchen,Bedding,287.32,2,574.64,5,28.73,545.91,Google Pay,66,Female,Peoria,Illinois,5
10045,2023-01-15,9792,Cameras Product 14,Electronics,Cameras,618.59,1,618.59,0,0.0,618.59,Credit Card,47,Non-binary,San Francisco,California,4
10046,2023-01-15,8910,Equipment Product 84,Sports,Equipment,231.48,1,231.48,10,23.15,208.33,Google Pay,44,Female,Austin,Texas,5
10047,2023-01-15,8596,Decor Product 72,Home & Kitchen,Decor,203.48,1,203.48,0,0.0,203.48,Google Pay,54,Non-binary,Sacramento,California,5
10048,2023-01-16,7048,Pants Product 51,Clothing,Pants,129.0,1,129.0,15,19.35,109.65,Apple Pay,44,Non-binary,Tallahassee,Florida,5
10049,2023-01-17,7192,Headphones Product 42,Electronics,Headphones,1232.49,2,2464.98,0,0.0,2464.98,Apple Pay,18,Female,San Antonio,Texas,4
10050,2023-01-18,7192,Non-fiction Product 25,Books,Non-fiction,80.51,2,161.02,15,24.15,136.87,Apple Pay,37,Male,San Jose,California,5
10051,2023-01-19,7192,Decor Product 88,Home & Kitchen,Decor,632.63,1,632.63,15,94.89,537.74,Apple Pay,45,Non-binary,Jacksonville,Florida,5
10052,2023-01-19,7192,Cookware Product 84,Home & Kitchen,Cookware,574.56,2,1149.12,0,0.0,1149.12,Apple Pay,38,Non-binary,Miami,Florida,2
10053,2023-01-20,7192,Accessories Product 8,Sports,Accessories,462.21,1,462.21,0,0.0,462.21,Google Pay,68,Non-binary,Buffalo,New York,4
10054,2023-01-20,7192,Non-fiction Product 67,Books,Non-fiction,92.3,1,92.3,0,0.0,92.3,Bank Transfer,53,Male,San Francisco,California,5
10055,2023-01-20,7192,Tablets Product 73,Electronics,Tablets,855.09,1,855.09,20,171.02,684.07,PayPal,72,Female,Buffalo,New York,5
10056,2023-01-21,7192,Shoes Product 87,Clothing,Shoes,141.08,2,282.16,0,0.0,282.16,Bank Transfer,74,Male,Jacksonville,Florida,5
10057,2023-01-21,7192,Headphones Product 40,Electronics,Headphones,298.67,2,597.34,0,0.0,597.34,Credit Card,28,Non-binary,Tampa,Florida,5
10058,2023-01-22,7192,Biographies Product 75,Books,Biographies,67.97,2,135.94,0,0.0,135.94,Google Pay,68,Male,Dallas,Texas,3
10059,2023-01-22,6030,Smartphones Product 1,Electronics,Smartphones,771.44,2,1542.88,0,0.0,1542.88,PayPal,55,Female,Jacksonville,Florida,5
10060,2023-01-22,6444,Decor Product 98,Home & Kitchen,Decor,346.78,3,1040.34,10,104.03,936.31,PayPal,53,Male,Chicago,Illinois,5
10061,2023-01-23,8700,Non-fiction Product 52,Books,Non-fiction,27.22,1,27.22,0,0.0,27.22,Credit Card,62,Male,San Antonio,Texas,5
10062,2023-01-23,8700,Footwear Product 26,Sports,Footwear,400.94,1,400.94,5,20.05,380.89,Bank Transfer,41,Non-binary,Sacramento,California,5
10063,2023-01-25,7551,Accessories Product 34,Clothing,Accessories,57.75,2,115.5,5,5.78,109.72,Bank Transfer,20,Male,Rochester,New York,5
10064,2023-01-25,8908,Educational Product 15,Books,Educational,30.44,1,30.44,0,0.0,30.44,PayPal,59,Non-binary,Naperville,Illinois,4
10065,2023-01-25,1540,Laptops Product 97,Electronics,Laptops,1009.99,2,2019.98,5,101.0,1918.98,Google Pay,63,Female,Fort Worth,Texas,3
10066,2023-01-26,9481,Comics Product 45,Books,Comics,17.34,2,34.68,0,0.0,34.68,Google Pay,55,Non-binary,San Jose,California,2
10067,2023-01-26,9481,Smartphones Product 76,Electronics,Smartphones,1799.92,1,1799.92,15,269.99,1529.93,Bank Transfer,36,Male,Fort Worth,Texas,1
10068,2023-01-26,9481,Shirts Product 46,Clothing,Shirts,57.54,1,57.54,5,2.88,54.66,PayPal,22,Female,San Francisco,California,5
10069,2023-01-27,9481,Biographies Product 40,Books,Biographies,12.2,4,48.8,5,2.44,46.36,Credit Card,60,Male,Jacksonville,Florida,5
10070,2023-01-28,9481,Smartphones Product 19,Electronics,Smartphones,1472.86,1,1472.86,0,0.0,1472.86,Apple Pay,29,Non-binary,San Francisco,California,3
10071,2023-01-28,9481,Smartphones Product 96,Electronics,Smartphones,543.67,1,543.67,5,27.18,516.49,PayPal,38,Non-binary,Peoria,Illinois,5
10072,2023-01-28,9481,Biographies Product 89,Books,Biographies,86.61,1,86.61,15,12.99,73.62,PayPal,65,Male,Rochester,New York,4
10073,2023-01-28,9481,Biographies Product 13,Books,Biographies,81.92,1,81.92,5,4.1,77.82,Apple Pay,28,Non-binary,Springfield,Illinois,3
10074,2023-01-28,1381,Appliances Product 81,Home & Kitchen,Appliances,463.63,2,927.26,0,0.0,927.26,Google Pay,37,Female,Springfield,Illinois,4
10075,2023-01-29,1381,Appliances Product 69,Home & Kitchen,Appliances,863.48,2,1726.96,5,86.35,1640.61,Bank Transfer,45,Female,San Antonio,Texas,2
10076,2023-01-29,1381,Furniture Product 64,Home & Kitchen,Furniture,741.11,1,741.11,0,0.0,741.11,Apple Pay,66,Female,New York City,New York,4
10077,2023-01-30,1381,Dresses Product 59,Clothing,Dresses,68.63,2,137.26,0,0.0,137.26,Bank Transfer,21,Female,Houston,Texas,5
10078,2023-01-31,1381,Accessories Product 36,Clothing,Accessories,57.57,2,115.14,0,0.0,115.14,Apple Pay,72,Female,Chicago,Illinois,5
10079,2023-02-02,1381,Laptops Product 25,Electronics,Laptops,421.83,1,421.83,0,0.0,421.83,Credit Card,64,Non-binary,Tallahassee,Florida,4
10080,2023-02-02,1381,Apparel Product 10,Sports,Apparel,17.2,1,17.2,0,0.0,17.2,Google Pay,18,Male,Naperville,Illinois,3
10081,2023-02-02,1381,Cookware Product 26,Home & Kitchen,Cookware,330.0,2,660.0,0,0.0,660.0,Credit Card,54,Female,Albany,New York,5
10082,2023-02-03,1381,Dresses Product 42,Clothing,Dresses,49.84,3,149.52,0,0.0,149.52,Bank Transfer,18,Non-binary,San Diego,California,1
10083,2023-02-03,1381,Appliances Product 36,Home & Kitchen,Appliances,247.71,1,247.71,0,0.0,247.71,Credit Card,47,Female,Fort Worth,Texas,4
10084,2023-02-03,6523,Apparel Product 15,Sports,Apparel,486.19,2,972.38,5,48.62,923.76,Credit Card,47,Male,Buffalo,New York,5
10085,2023-02-03,5162,Laptops Product 89,Electronics,Laptops,210.91,3,632.73,0,0.0,632.73,PayPal,38,Female,Sacramento,California,3
10086,2023-02-04,5371,Cookware Product 5,Home & Kitchen,Cookware,339.68,3,1019.04,0,0.0,1019.04,Bank Transfer,49,Male,Rochester,New York,5
10087,2023-02-04,5371,Bedding Product 23,Home & Kitchen,Bedding,413.88,1,413.88,20,82.78,331.1,PayPal,57,Female,Springfield,Illinois,4
10088,2023-02-04,6097,Decor Product 51,Home & Kitchen,Decor,139.95,2,279.9,0,0.0,279.9,Bank Transfer,50,Female,San Jose,California,4
10089,2023-02-04,6097,Tablets Product 86,Electronics,Tablets,1489.51,1,1489.51,5,74.48,1415.03,Google Pay,48,Male,Dallas,Texas,4
